imageid, row, col, archived
201, 946, 1269, 9
201, 686, 792, 9
201, 1030, 1437, 9
201, 1041, 1190, 15
201, 1356, 1855, 14
201, 426, 2547, 14
201, 495, 1072, 14
201, 1007, 1311, 9
201, 1362, 1444, 15
201, 1186, 1960, 9
201, 1294, 1270, 9
201, 715, 1556, 9
201, 1264, 1597, 9
201, 1003, 2155, 9
201, 64, 263, 9
201, 1373, 1843, 9
201, 1784, 1533, 9
201, 1742, 699, 14
201, 1387, 2139, 9
201, 1840, 2464, 9
201, 1770, 249, 9
201, 825, 488, 14
201, 1013, 2073, 9
201, 1634, 2409, 9
202, 196, 1062, 9
202, 497, 277, 9
202, 1151, 683, 9
202, 1811, 1664, 9
202, 1576, 755, 9
202, 1754, 2742, 9
202, 1692, 512, 14
202, 1540, 1661, 9
202, 1274, 662, 9
202, 1459, 1277, 9
202, 885, 1148, 9
202, 1883, 2544, 9
202, 642, 937, 15
202, 176, 2626, 9
202, 1336, 1087, 9
202, 292, 2753, 9
202, 1169, 868, 9
202, 1781, 1354, 9
202, 1495, 2758, 9
202, 647, 704, 9
202, 986, 1354, 9
202, 458, 972, 14
202, 972, 2129, 9
202, 3, 2573, 9
203, 1994, 1233, 9
203, 149, 1427, 9
203, 526, 253, 9
203, 771, 1524, 20
203, 15, 1515, 9
203, 858, 840, 9
203, 1158, 2274, 9
203, 1484, 264, 9
203, 955, 1444, 9
203, 816, 2337, 9
203, 2100, 2639, 9
203, 436, 1867, 14
203, 1297, 1454, 14
203, 1909, 1086, 20
203, 238, 1769, 20
203, 1071, 402, 9
203, 268, 576, 9
203, 183, 2631, 9
203, 1052, 166, 14
203, 785, 2310, 9
203, 1204, 252, 9
203, 384, 225, 9
203, 1008, 605, 9
203, 67, 366, 9
204, 360, 2517, 9
204, 307, 1660, 20
204, 158, 2388, 14
204, 1974, 2490, 14
204, 770, 1655, 14
204, 405, 605, 20
204, 1233, 342, 14
204, 1138, 1415, 14
204, 1365, 833, 14
204, 1499, 2394, 14
204, 1890, 1607, 14
204, 821, 461, 14
204, 1164, 2413, 14
204, 1735, 545, 20
204, 657, 725, 20
204, 1810, 2594, 9
204, 619, 346, 20
204, 1858, 2331, 9
204, 408, 664, 20
204, 317, 194, 20
204, 1287, 233, 14
204, 1300, 1762, 9
204, 1926, 1447, 14
204, 1914, 1269, 14
205, 1042, 1334, 20
205, 1673, 1887, 20
205, 468, 205, 20
